date,name,market_open_status,weekday
26-01-2024,Republic Day,NO,Friday
08-03-2024,Mahashivratri,NO,Friday
25-03-2024,Holi,NO,Monday
29-03-2024,Good Friday,NO,Friday
11-04-2024,Id-Ul-Fitr (Ramadan Eid),NO,Thursday
17-04-2024,Shri Ram Navmi,NO,Wednesday
01-05-2024,Maharashtra Day,NO,Wednesday
17-06-2024,Bakri Id,NO,Monday
17-07-2024,Moharram,NO,Wednesday
15-08-2024,Independence Day/Parsi New Year,NO,Thursday
02-10-2024,Mahatma Gandhi Jayanti,NO,Wednesday
01-11-2024,Diwali Laxmi Pujan*,NO,Friday
15-11-2024,Gurunanak Jayanti,NO,Friday
25-12-2024,Christmas,NO,Wednesday
